id,collection,dspace.entity.type,nrcan.serial.code,dc.title[en],dc.title[fr],nrcan.serial.issn,nrcan.serial.issne,nrcan.serial.notes,nrcan.serial.urlname,nrcan.serial.url
+,123456789s/22,Serial,wastemr,Waste Management and Research,Waste Management and Research,0734-242X,1096-3669,,Waste Management and Research ,a http://wmr.sagepub.com/
+,123456789s/22,Serial,jforensci,Journal of Forensic Sciences,Journal of Forensic Sciences,0022-1198,,,Journal of Forensic Sciences ,a http://www.aafs.org/Journal.htm
+,123456789s/22,Serial,aapgpbs,"American Association of Petroleum Geologists, Petroleum Basins Series","American Association of Petroleum Geologists, Petroleum Basins Series",,,"this is a sub-series of the AAPG memoirs. A volume number is given for the main Memoir series, but no volume number is given for the sub-series.",American Association of Petroleum Geologists ,a http://www.aapg.org/
+,123456789s/22,Serial,advgeos,Advances in Geosciences,Advances in Geosciences,1680-7340,1680-7359,,Advances in Geosciences ,a http://www.advances-in-geosciences.net/for_authors/article_processing_charges.html
+,123456789s/22,Serial,aqecohm,Aquatic Ecosystem Health and Management,Aquatic Ecosystem Health and Management,1463-4988,1539-4077,,Aquatic Ecosystem Health and Management ,a http://www.aehms.org/journal.html
+,123456789s/22,Serial,hera,Human and Ecological Risk Assessment,Human and Ecological Risk Assessment,1080-7039,,,Human and Ecological Risk Assessment ,a http://www.aehs.com/journals/humanandecojournal/
+,123456789s/22,Serial,aeragsmp,"Alberta Energy Regulator / Alberta Geological Survey, Map","Alberta Energy Regulator / Alberta Geological Survey, Map",,,"Continues the series Alberta Energy and Utilities Board / Alberta Geological Survey, Map",AER - Alberta Geological Survey Maps ,a http://www.ags.gov.ab.ca/data-maps-models/maps.htm
+,123456789s/22,Serial,gecubed,"Geochemistry, Geophysics, Geosystems (G3)","Geochemistry, Geophysics, Geosystems (G3)",0016-8033,1942-2156,,"Geochemistry, Geophysics, Geosystems (G3) ",a http://www.agu.org/journals/gc/
+,123456789s/22,Serial,actaggh,"Acta Geodaetica, Geophysica Hungarica",Acta Geodaetica et Geophysica Hungarica,1217-8977,1587-1037,,Acta Geodaetica et Geophysica Hungarica ,a http://www.akademiai.com/content/119699/
+,123456789s/22,Serial,bullams,Bulletin of the American Meteorological Society,Bulletin of the American Meteorological Society,1520-0477,,,Bulletin of the American Meteorological Society ,a http://www.ametsoc.org/bams/index.html
+,123456789s/22,Serial,andgeol,Andean Geology,Andean Geology,0718-7092,0718-7106,,Andean Geology ,a http://www.andeangeology.cl/index.php/revista1/about/editorialPolicies#openAccessPolicy
+,123456789s/22,Serial,innov,Innovation: Journal of the Association of Professional Engineers and Geoscientists of BC,Innovation: Journal of the Association of Professional Engineers and Geoscientists of BC,,,,Innovation: Journal of the Association of Professional Engineers and Geoscientists of BC ,a http://www.apeg.bc.ca/innovation/archives.html
+,123456789s/22,Serial,explore,Explore,Explore,1948-6847,,,Explore ,a http://www.appliedgeochemists.org/index.php/publications/explore-newsletter/2-uncategorised/93-explore-issues
+,123456789s/22,Serial,jnanotech,Journal of Nanoscience and Nanotechnology,Journal of Nanoscience and Nanotechnology,1533-4880,1533-4899,,Journal of Nanoscience and Nanotechnology ,a http://www.aspbs.com/jnn/
+,123456789s/22,Serial,aspconf,ASP Conference Series,ASP Conference Series,,,"Astronomical Society of the Pacific - individual volumes have ISBNs since the series covers a variety of conferences, meetings, workshops.",ASP Conference Series ,a http://www.astrosociety.org/pubs/cs/confseries.html
+,123456789s/22,Serial,aspconfs,"Astronomical Society of the Pacific, Conference Series","Astronomical Society of the Pacific, Conference Series",,,,"Astronomical Society of the Pacific, Conference Series ",a http://www.astrosociety.org/pubs/cs/confseries.html
+,123456789s/22,Serial,berpm,Berichte zur Polar und Meeresforschung (Reports on Polar and Marine Research),Berichte zur Polar und Meeresforschung (Reports on Polar and Marine Research),1618-3193,,,Berichte zur Polar und Meeresforschung (Reports on Polar and Marine Research) ,a http://www.awi.de/de/infrastruktur/bibliothek/awi_periodika/berichte_zur_polar_und_meeresforschung/
+,123456789s/22,Serial,jawra,Journal of the American Water Resources Association,Journal of the American Water Resources Association,1093-474X,,"prior to 1997, the Journal of the American Water Resources Association was named Water Resources Bulletin, and its ISSN number was 0043-1370",Journal of the American Water Resources Association ,a http://www.awra.org/jawra/
+,123456789s/22,Serial,cgqmem,"Quebec Geoscience Centre, Memoir","Centre géoscientifique de Québec, Mémoire",,,,"Centre géoscientifique de Québec, Mémoires ",a http://www.bape.gouv.qc.ca/sections/archives/eau/docdeposes/listememoire.html
+,123456789s/22,Serial,polgeog,Polar Geography,Polar Geography,1088-937X,,,Polar Geography ,a http://www.bellpub.com/pgg/
+,123456789s/22,Serial,openspectj,The Open Spectroscopy Journal,The Open Spectroscopy Journal,,1874-3838,,The Open Spectroscopy Journal ,a http://www.bentham.org/open/tospecj/
+,123456789s/22,Serial,bigesc,Biogeosciences,Biogeosciences,1726-4170,1726-4189,,Biogeosciences ,a http://www.biogeosciences.net/for_authors/article_processing_charges.html
+,123456789s/22,Serial,geodiv,Geodiversitas,Geodiversitas,1280-9659,1638-9395,,Geodiversitas ,a http://www.bioone.org/loi/geod
+,123456789s/22,Serial,accrbss,"Acta Crystallographica, Section B, Structural Science, Crystal Engineering and Materials","Acta Crystallographica, Section B, Structural Science, Crystal Engineering and Materials",,2052-5206,"Section B, 1963-1999","Acta Crystallographica, Section B, Structural Science, Crystal Engineering and Materials ",a http://www.blackwellpublishing.com/journal.asp?ref=0108-7681
+,123456789s/22,Serial,jeukmic,Journal of Eukaryotic Microbiology,Journal of Eukaryotic Microbiology,1066-5234,1550-7408,,Journal of Eukaryotic Microbiology ,a http://www.blackwellpublishing.com/journal.asp?ref=1066-5234
+,123456789s/22,Serial,spepapal,Special Papers in Palaeontology,Special Papers in Palaeontology,0031-0239,1475-4983,Continued by Papers in Palaeontology,Special Papers in Palaeontology (Blackwell Publishing) ,a http://www.blackwellpublishing.com/seriesbyseries.asp?series=PAS&SearchOrd=Rank&type=series&show=Sseries&subj=&site=1
+,123456789s/22,Serial,commonwealthforestryreview,Commonwealth Forestry Review,Commonwealth Forestry Review,,,,CFR Science Portal ,a http://www.bodleian.ox.ac.uk/science/eresources/odlf/cfr
+,123456789s/22,Serial,calecon,Circum-Arctic Lithosphere Evolution (CALE) Contribution,Circum-Arctic Lithosphere Evolution (CALE) Contribution,1941-8264,1947-4253,,Circum-Arctic Lithosphere Evolution (CALE) ,a http://www.cale.geo.su.se/
+,123456789s/22,Serial,gradev,Graðevinar,Graðevinar,0350-2465,1333-9095,Croatian Association of Civil Engineers,Graðevinar ,a http://www.casopis-gradjevinar.hr/about-the-journal/
+,123456789s/22,Serial,arcsci,Arctic Science,Arctic Science,2368-7460,1095-9203,Sept. 2015 -,Arctic Science (NRC Press) ,a http://www.cdnsciencepub.com/our-journals/arctic-science-open.aspx
+,123456789s/22,Serial,cgqra,"Quebec Geoscience Centre, Annual Report","Centre géoscientifique de Québec, Rapport annuel",,,,"Centre géoscientifique de Québec, Rapport annuel ",a http://www.cgq-qgc.ca/centre/centre-archives.html
+,123456789s/22,Serial,elemcgu,Elements: The Newsletter of the Canadian Geophysical Union,Éléments : Le bulletin de l'Union géophysique canadienne,1811-5209,1811-5217,,Elements: The Newsletter of the Canadian Geophysical Union / Éléments : Le bulletin de l'Union géophysique canadienne ,a http://www.cgu-ugc.ca/newslett/elements.html
+,123456789s/22,Serial,chemlist,Chemické Listy,Chemické Listy,0009-2770,1213-7103,"Published in Czech, Slovak, and English; CD ROM ISSN 1803-2389",Chemické Listy ,a http://www.chemicke-listy.cz/ojs3/index.php/chemicke-listy
+,123456789s/22,Serial,exmingeo,Exploration and Mining Geology,Exploration and Mining Geology,0964-1823,1943-2682,,Exploration and Mining Geology: journal of the Geological Society of CIM ,a http://www.cim.org/geosoc/indexEmg.cfm
+,123456789s/22,Serial,atmocean,Atmosphere-Ocean,Atmosphere-Ocean,0705-5900,1480-9214,,Atmosphere-Ocean ,a http://www.cmos.ca/Ao/chronoindex.htm
+,123456789s/22,Serial,codessp,Centre for Ore Deposits Research (CODES) Special Publication,Centre for Ore Deposits Research (CODES) Special Publication,,,,Centre for Ore Deposits Research (CODES) Special Publications ,a http://www.codes.utas.edu.au/6 Publications/SpecialPublications.htm
+,123456789s/22,Serial,adgeo,Advances in Geosciences,Advances in Geosciences,2076-3263,,,Advances in Geosciences ,a http://www.copernicus.org/EGU/adgeo/adgeo.html
+,123456789s/22,Serial,nhess,Natural Hazards and Earth System Sciences,Natural Hazards and Earth System Sciences,1561-8633,1684-9981,,Natural Hazards and Earth System Sciences ,a http://www.copernicus.org/EGU/nhess/nhess.html
+,123456789s/22,Serial,praifor,Prairie Forum,Prairie Forum,0317-6282,,,Prairie Forum ,a http://www.cprc.ca/prairieforum.htm
+,123456789s/22,Serial,coralrb,Coral Research Bulletin,Coral Research Bulletin,0945-7275,,,Coral Research Bulletin ,a http://www.cp-v.de/crb/
+,123456789s/22,Serial,haznet,HazNet,HazNet,,,,HazNet Newlsetter ,a http://www.crhnet.ca/
+,123456789s/22,Serial,csegrec,"Canadian Society of Exploration Geophysicists, Recorder","Canadian Society of Exploration Geophysicists, Recorder",0832-0322,,Commenced Jan. 1975,CSEG Recorder ,a http://www.cseg.ca/publications/recorder.cfm
+,123456789s/22,Serial,reservo,Reservoir,Reservoir,1484-2238,,"name previously CSPG Reservoir - name change effective vol. 24, no. 8 (1997)",Reservoir ,a http://www.cspg.org/publications/pubs-reservoir.cfm
+,123456789s/22,Serial,quebecscience,Quebec Science,Québec Science,,1095-9203,,Quebec Science ,a http://www.cybersciences.com/cyber/fr/index.html
+,123456789s/22,Serial,opengeos,Open Geosciences,Open Geosciences,,2391-5447,,Open Geosciences ,a http://www.degruyter.com/view/j/geo
+,123456789s/22,Serial,geocarp,Geologica Carpathica,Geologica Carpathica,1336-8052,,,Geologica Carpathica ,a http://www.degruyter.com/view/supplement/s13368052_Instructions_to_Authors.pdf
+,123456789s/22,Serial,contrgeo,Contemporary Trends in Geoscience,Contemporary Trends in Geoscience,2299-8179,,,Contemporary Trends in Geoscience ,a http://www.degruyter.com/view/supplement/s22998179_Instruction_for_Authors.pdf
+,123456789s/22,Serial,opgeos,Open Geosciences,Open Geosciences,2391-5447,,,Open Geosciences ,a http://www.degruyter.com/view/supplement/s23915447_Instruction_for_Authors.pdf
+,123456789s/22,Serial,edspwp,"Earth Decision Sciences/Paradigm, White Paper","Earth Decision Sciences/Paradigm, White Paper",,,,"Earth Decision Sciences/Paradigm, White Paper ",a http://www.earthdecision.com/news/whitepaper.html
+,123456789s/22,Serial,easydy,Earth System Dynamics,Earth System Dynamics,2190-4979,2190-4987,,Earth System Dynamics ,a http://www.earth-system-dynamics.net/for_authors/article_processing_charges.html
+,123456789s/22,Serial,earsscidat,Earth System Science Data,Earth System Science Data,1866-3508,1866-3516,,Earth System Science Data ,a http://www.earth-system-science-data.net/for_authors/article_processing_charges.html
+,123456789s/22,Serial,intjeeg,International Journal of Economic and Environment Geology,International Journal of Economic and Environment Geology,2223-957X,,,International Journal of Economic and Environment Geology ,a http://www.econ-environ-geol.org/index.php?option=com_content&view=article&id=205&Itemid=30
+,123456789s/22,Serial,jphysiv,Journal de Physique IV - Proceedings,Journal de Physique IV - Proceedings,1155-4339,1764-7177,,Journal de Physique IV - Proceedings ,a http://www.edpsciences.org/journal/index.cfm?edpsname=jp4&niv1=contents&niv2=archives
+,123456789s/22,Serial,elemmag,"Elements: An International Magazine of Mineralogy, Geochemistry, and Petrology","Elements: An International Magazine of Mineralogy, Geochemistry, and Petrology",1811-5209,1811-5217,,"Elements: An International Magazine of Mineralogy, Geochemistry, and Petrology ",a http://www.elementsmagazine.org/
+,123456789s/22,Serial,geosfron,Geoscience Frontiers,Geoscience Frontiers,1674-9871,,,Geoscience Frontiers ,a http://www.elsevier.com/journals/geoscience-frontiers/1674-9871/guide-for-authors
+,123456789s/22,Serial,jhydregs,Journal of Hydrology: Regional Studies,Journal of Hydrology: Regional Studies,2214-5818,,,Journal of Hydrology: Regional Studies ,a http://www.elsevier.com/journals/journal-of-hydrology-regional-studies/2214-5818/guide-for-authors
+,123456789s/22,Serial,forensicsi,Forensic Science International,Forensic Science International,0379-0738,1095-9203,Supercedes Forensic Science,Forensic Science International ,a http://www.elsevier.com/locate/forensics
+,123456789s/22,Serial,ijggc,International Journal of Greenhouse Gas Control,,1750-5836,,,International Journal of Greenhouse Gas Control ,a http://www.elsevier.com/locate/ijggc
+,123456789s/22,Serial,dquatsci,Developments in Quaternary Science,,,1095-9203,,Elsevier: Developments in Quaternary Science ,a http://www.elsevier.com/locate/series/dqs
+,123456789s/22,Serial,envpoll,Environmental Pollution,Environmental Pollution,0269-7491,,,Environmental Pollution ,a http://www.elsevier.com/wps/find/journaldescription.cws home/405856/description#description
+,123456789s/22,Serial,ecomodel,Ecological Modelling,Ecological Modelling,0304-3800,,,Ecological Modelling ,a http://www.elsevier.com/wps/find/journaldescription.cws_home/503306/description#description
+,123456789s/22,Serial,quatgeoc,Quaternary Geochronology,Quaternary Geochronology,1871-1014,,,Quaternary Geochronology ,a http://www.elsevier.com/wps/find/journaldescription.cws_home/706731/description?navopenmenu=-2
+,123456789s/22,Serial,aeolianres,Aeolian Research,Aeolian Research,1875-9637,,"Aeolian Research is the official journal of the International Society of Aeolian Research. (Sept. 2009 - vol. 1, iss. 1-2)",Aeolian Research ,a http://www.elsevier.com/wps/find/journaldescription.cws_home/715727/description
+,123456789s/22,Serial,appgeoch,Applied Geochemistry,Applied Geochemistry,0883-2927,,,Applied Geochemistry ,a http://www.elsevier.nl:80/section/earth/geo/ag.htm
+,123456789s/22,Serial,bcempgsbb,"British Columbia Ministry of Energy, Mines and Petroleum Resources, Geological Survey Branch, Bulletin","British Columbia Ministry of Energy, Mines and Petroleum Resources, Geological Survey Branch, Bulletin",,,,British Columbia Geological Survey Bulletins ,a http://www.em.gov.bc.ca/Mining/Geolsurv/Publications/catalog/cat_bull.htm
+,123456789s/22,Serial,bceigsbb,"British Columbia Ministry of Employment and Investment, Geological Survey Branch, Bulletin","British Columbia Ministry of Employment and Investment, Geological Survey Branch, Bulletin",,,,British Columbia Geological Survey Bulletins ,a http://www.em.gov.bc.ca/Mining/Geolsurv/Publications/catalog/cat_bull.htm
+,123456789s/22,Serial,bcgsgm,"British Columbia Geological Survey, Geoscience Map","British Columbia Geological Survey, Geoscience Map",,,,"British Columbia Geological Survey, Geoscience Maps ",a http://www.em.gov.bc.ca/Mining/Geolsurv/Publications/catalog/cat_maps.htm#GeoSciMap
+,123456789s/22,Serial,bcemgsof,"British Columbia Ministry of Energy and Mines, Geological Survey Branch, Open File","British Columbia Ministry of Energy and Mines, Geological Survey Branch, Open File",,,,"British Columbia Ministry of Energy and Mines, Geological Survey Branch, Open Files ",a http://www.em.gov.bc.ca/Mining/Geolsurv/Publications/catalog/cat_of.htm
+,123456789s/22,Serial,envarch,Environmental Archaeology,Environmental Archaeology,1461-4103,,,Environmental Archaeology ,a http://www.envarch.net/publications/envarch/index.html
+,123456789s/22,Serial,earthom,Earth Observation Magazine,Earth Observation Magazine,1076-3430,,This title effective Nov. 1995-Sept. 1997 (according to ESIC catalogue). See under title EOM for Oct. 1997- .,EOM ,a http://www.eomonline.com/Common/main.html
